Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
325,LW,7,,,"Pringle, Justin",KGN,54,3,7,10,-32,15,0
326,RW,22,,*,"McFarlane, Ben",GUE,54,4,5,9,-4,17,0
327,LW,43,,*,"Dodig, Max",MISS,58,4,5,9,-7,17,0
328,D,6,,*,"Holmes, Jacob",SOO,57,3,6,9,9,12,1
329,D,27,,*,"Steklov, Kirill",LDN,50,2,7,9,10,29,1
330,C,20,,,"Tourigny, Felix-Antoine",OTT,56,2,7,9,-7,4,0
331,D,3,,,"Hill, Mathew",BAR,63,2,7,9,-13,41,0
332,D,2,,*,"Mayotte, James",NB,50,1,8,9,-23,10,1
333,D,4,,*,"Enright, Isaac",NIAG,53,1,8,9,-23,34,0
334,D,8,,,"McNamara, Matt",PBO,53,0,9,9,12,16,0
335,D,27,,*,"Matier, Jack",OTT,56,0,9,9,11,19,0
336,LW,25,,*,"Lawrence, Kaleb",OS,39,5,3,8,2,6,0
337,C,67,,*,"Gagnier, Ryan",OSH,57,5,3,8,-3,22,0
338,C,62,,*,"Fishman, Jesse",KIT,48,4,4,8,7,20,0
339,D,18,,*,"Dillingham, Nolan",SAR,41,3,5,8,-7,34,0
340,C,21,,*,"Sims, Ethan",NIAG,47,3,5,8,-18,8,0
341,D,25,,,"Hiebert, Clark",GUE,38,2,6,8,10,6,0
342,C,28,,*,"Walker, Cooper",GUE,45,2,6,8,-8,8,0
343,D,27,,,"Cook, AJ",NIAG,50,1,7,8,-6,14,0
344,D,14,,*,"Chanton, Giancarlo",NIAG,56,1,7,8,-23,14,0
345,RW,25,,*,"Mufarreh, Dominic",SOO,32,4,3,7,-7,4,1
346,LW,24,,,"Walker, Daniel",OSH,18,3,4,7,-3,54,0
347,D,3,,*,"Sawyer, Teddy",OTT,36,3,4,7,2,27,1
348,D,28,,,"Hatcher, Kelton",SAR,38,3,4,7,-4,78,0
349,D,23,,*,"Ritchie, Ethan",KGN,34,2,5,7,6,4,0
350,D,37,,,"Callaghan, Charlie",MISS,44,2,5,7,-5,13,0
351,C,17,,,"Peters, Cameron",NIAG,48,2,5,7,-37,15,0
352,D,5,,,"Cameron, Christopher",BAR,55,2,5,7,0,69,0
353,D,9,,*,"Sedley, Sam",OS,42,1,6,7,1,4,0
354,LW,29,,*,"Michaud, Daniel",OSH,50,1,6,7,-1,14,1
355,D,6,,,"Seed, Nolan",OS,54,1,6,7,1,24,0
356,D,23,,,"Terry, Zack",GUE,49,0,7,7,-3,16,0
357,D,77,,*,"Del Mastro, Ethan",MISS,57,0,7,7,-6,28,0
358,D,12,,*,"Costantini, Anthony",OTT,59,0,7,7,21,22,0
359,RW,8,,*,"McKinney, Dawson",OSH,37,5,1,6,-3,22,0
360,LW,27,,,"MacDougall, Mathew",ER,21,3,3,6,-6,6,0
361,C,34,,*,"Del Monte, Ryan",BAR,49,3,3,6,-4,35,0
362,LW,39,,*,"McCue, Max",LDN,34,2,4,6,2,22,0
363,D,74,,*,"Roger, Ben",LDN,35,2,4,6,-2,6,0
364,D,2,,*,"Punnett, Connor",BAR,51,2,4,6,3,28,0
